Eil.,Savivaldybės,,,Amžiaus grupės,
,,gyventojų,,,
Nr.,pavadinimas,,,,
,,skaičius,0 - 6,7 - 17,Pensinio amžiaus
1,Akmenės r. sav.,,,,
,,23482,1137,2369,5777
2,Alytaus m. sav.,60514,2995,6024,13339
3,Alytaus r. sav.,30079,1525,3006,7013
4,Anykščių r. sav.,28705,1060,2466,7653
5,Birštono sav.,4861,211,449,1197
6,Biržų r. sav.,29604,1284,2939,7312
7,Druskininkų sav.,23163,1081,2010,5496
8,Elektrėnų sav.,26527,1547,2611,5411
9,Ignalinos r. sav.,18250,656,1501,5137
10,Jonavos r. sav.,48014,2658,5521,9862
11,Joniškio r. sav.,25687,1122,2673,5857
12,Jurbarko r. sav.,31195,1405,3175,7134
13,Kaišiadorių r. sav.,32845,1616,3404,7247
14,Kalvarijos sav.,12465,738,1513,2450
15,Kauno m. sav.,323431,21008,30811,75681
16,Kauno r. sav.,95103,6192,11480,16619
17,Kazlų Rūdos sav.,13168,769,1448,2846
18,Kėdainių r. sav.,55323,2811,5885,12730
19,Kelmės r. sav.,32254,1434,3236,7734
20,Klaipėdos m. sav.,176335,12377,17540,37295
21,Klaipėdos r. sav.,56489,3572,6854,9382
22,Kretingos r. sav.,42619,2473,4657,8815
23,Kupiškio r. sav.,20232,844,2030,4926
24,Lazdijų r. sav.,22861,1098,2249,5507
25,Marijampolės sav.,63579,3641,6811,12437
26,Mažeikių r. sav.,61632,3757,7007,11133
27,Molėtų r. sav.,20939,822,1846,5228
28,Neringos sav.,4655,187,354,718
29,Pagėgių sav.,10297,624,1143,1932
30,Pakruojo r. sav.,23012,1028,2473,5225
31,Palangos m. sav.,17982,947,1727,4262
32,Panevėžio m. sav.,103578,5533,10224,23608
33,Panevėžio r. sav.,41339,2050,4200,8481
34,Pasvalio r. sav.,28971,1407,3084,6416
35,Plungės r. sav.,39902,2222,4419,7985
36,Prienų r. sav.,29953,1459,2893,7093
37,Radviliškio r. sav.,41960,2080,4458,9241
38,Raseinių r. sav.,37312,1795,3885,8722
39,Rietavo sav.,8987,489,955,1807
40,Rokiškio r. sav.,34609,1292,3133,8578
41,Skuodo r. sav.,20964,930,2072,4778
42,Šakių r. sav.,33209,1594,3499,7276
43,Šalčininkų r. sav.,35858,1838,3895,6620
44,Šiaulių m. sav.,114186,7183,11049,24486
45,Šiaulių r. sav.,45298,2266,4621,9656
46,Šilalės r. sav.,27440,1582,3150,5235
47,Šilutės r. sav.,48563,2835,5442,9186
48,Širvintų r. sav.,17633,839,1649,3937
49,Švenčionių r. sav.,27678,1173,2623,6683

Eil.,Savivaldybės,,,Amžiaus grupės,
,,gyventojų,,,
Nr.,pavadinimas,,,,
,,skaičius,0 - 6,7 - 17,Pensinio amžiaus
50,Tauragės r. sav.,,,,
,,46051,2545,4780,9676
51,Telšių r. sav.,48958,2642,5296,10528
52,Trakų r. sav.,35397,2047,3677,7128
53,Ukmergės r. sav.,40181,1851,3746,10083
54,Utenos r. sav.,43214,1824,3845,10324
55,Varėnos r. sav.,25539,1036,2255,6548
56,Vilkaviškio r. sav.,43588,2227,4870,9462
57,Vilniaus m. sav.,573127,43455,58591,111791
58,Vilniaus r. sav.,101410,6180,12067,16921
59,Visagino sav.,24815,1329,2184,4625
60,Zarasų r. sav.,18636,762,1712,4772
,Iš viso:,3173658,187084,325486,675001
